make,model,injury_severity,aircraft_damage,aircraft_category,number_of_engines,publication_date,engine_type,purpose_of_flight,weather_condition,total_fatal_injuries,total_serious_injuries,total_minor_injuries,registration_number,investigation_type
Cessna,140,Non-Fatal,Substantial,Airplane,1.0,01-01-1982,Reciprocating,Personal,VMC,0.0,0.0,0.0,N2482N,Accident
Cessna,401B,Non-Fatal,Substantial,Airplane,2.0,01-01-1982,Reciprocating,Business,IMC,0.0,0.0,0.0,N7967Q,Accident
Bellanca,17-30A,Non-Fatal,Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,0.0,0.0,1.0,N14779,Accident
Cessna,R172K,Fatal(1),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N758SK,Accident
Navion,A,Fatal(1),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N4876K,Accident
Beech,19,Fatal(2),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,IMC,2.0,0.0,0.0,N9779L,Accident
Cessna,180,Fatal(3),Destroyed,Airplane,1.0,02-01-1983,Reciprocating,Personal,VMC,3.0,0.0,0.0,N7641A,Accident
Cessna,172,Non-Fatal,Substantial,Airplane,1.0,02-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N25084,Accident
Cessna,152,Non-Fatal,Substantial,Airplane,1.0,02-01-1983,Reciprocating,Instructional,VMC,0.0,0.0,0.0,N68812,Accident
Cessna,150L,Non-Fatal,Substantial,Airplane,1.0,02-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N1549Q,Accident
Piper,PA-24-180,Incident,Minor,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N5018P,Incident
Grumman,AA-5B,Fatal(2),Destroyed,Airplane,1.0,03-01-1983,Reciprocating,Personal,IMC,2.0,1.0,0.0,N28912,Accident
Cessna,414A,Fatal(8),Destroyed,Airplane,2.0,03-01-1983,Reciprocating,Business,IMC,8.0,0.0,0.0,N2620L,Accident
Beechcraft,BE-58,Fatal(1),Destroyed,Airplane,2.0,03-01-1983,Reciprocating,Personal,IMC,1.0,0.0,0.0,N10VS,Accident
Maule,M-5-235C,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,0.0,N7125D,Accident
Cessna,210L,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,1.0,N94252,Accident
Bellanca,7GCBC,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,2.0,N8630V,Accident
Cessna,182,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Personal,VMC,0.0,0.0,2.0,N71054,Accident
Air Tractor,AT-301,Non-Fatal,Substantial,Airplane,1.0,03-01-1983,Reciprocating,Ferry,VMC,0.0,0.0,0.0,N23069,Accident
Piper,PA-28-161,Fatal(4),Destroyed,Airplane,1.0,04-01-1983,Reciprocating,Personal,VMC,4.0,0.0,0.0,N8265A,Accident
Piper,PA-34-200T,Fatal(2),Destroyed,Airplane,2.0,04-01-1983,Reciprocating,Unknown,VMC,2.0,0.0,0.0,N1956H,Accident
Cessna,T337G,Fatal(2),Destroyed,Airplane,2.0,04-01-1983,Reciprocating,Personal,IMC,2.0,2.0,0.0,N2CU,Accident
